,s_d2,s_d3,s_d4,s_d5,s_d6,s_d7,s_d8,s_d9,s_d10,s_d12,s_d16,s_d19,s_d20,s_d23,s_d24,s_d26,s_d28
0,0,0,0,0,0,0,0,0,2,77,62,62,62,67,62,67,62
1,383,394,372,329,330,338,298,339,409,497,567,552,616,587,588,571,621
2,260,212,214,211,170,231,223,272,216,582,591,568,575,569,570,587,530
3,298,288,252,260,244,328,284,375,269,600,625,596,650,573,617,649,590
4,309,252,255,264,226,295,257,334,246,612,642,591,653,595,615,645,582
5,296,252,243,258,214,316,271,351,239,542,591,563,628,534,576,613,550
6,315,271,273,264,235,351,262,372,253,551,571,524,592,532,549,580,487
7,281,270,273,239,233,334,274,380,234,586,610,566,650,575,567,627,563
8,321,284,293,281,260,328,296,398,275,557,577,548,619,612,579,586,523
9,307,277,252,256,240,334,265,374,245,549,568,514,585,631,537,569,540
10,288,265,270,266,226,341,247,358,246,587,584,510,623,601,559,614,528
11,321,257,256,260,222,347,274,367,242,547,522,488,592,628,533,548,465
12,336,286,269,303,253,402,312,415,266,604,604,530,626,656,535,596,537
13,351,346,304,311,261,409,309,412,279,599,593,550,643,645,570,595,502
14,352,291,307,293,257,390,302,389,278,579,561,509,627,623,554,576,471
15,401,356,349,325,302,424,332,442,300,609,567,543,628,663,562,587,521
16,378,362,381,321,283,426,335,419,294,590,555,541,624,653,547,580,503
17,392,375,390,330,269,411,333,424,338,629,634,563,661,699,610,630,547
18,406,349,418,370,298,413,332,465,353,629,614,563,657,741,599,606,533
19,396,388,360,355,322,437,378,438,355,618,609,547,678,697,616,594,556
20,439,391,369,381,334,466,346,476,343,611,629,563,662,724,590,613,521
21,367,360,384,322,318,411,318,413,321,631,633,576,661,722,609,630,532
22,406,379,378,326,313,426,359,438,306,611,693,625,654,772,590,634,557
23,357,397,408,346,294,409,323,439,334,635,710,616,709,774,654,664,549
24,378,399,395,360,293,449,320,439,367,595,610,575,656,750,583,628,499
25,415,393,429,347,306,421,368,448,336,622,695,586,695,767,616,660,555
26,401,363,430,336,296,409,352,442,334,594,705,591,667,775,595,678,520
27,369,364,401,310,290,413,358,438,337,586,669,618,698,721,625,661,543
28,387,379,419,309,331,428,362,424,292,634,660,593,653,720,534,638,510
29,405,333,379,324,285,410,309,436,298,640,652,597,672,719,591,669,518
30,421,390,489,364,317,406,363,451,347,614,662,580,662,735,588,669,530
31,396,446,400,338,306,417,340,467,356,602,645,593,686,760,577,657,531
32,415,408,386,321,355,398,325,454,310,621,650,624,694,731,595,692,514
33,398,388,386,323,278,380,320,425,318,663,683,618,686,762,593,661,570
34,402,372,462,337,271,405,305,432,294,669,668,582,675,726,603,656,549
35,432,346,393,331,293,414,334,430,326,648,658,610,682,736,618,643,536
36,453,347,389,328,298,409,326,423,357,664,653,600,699,762,621,674,525
37,419,374,465,337,326,438,349,448,329,653,657,594,703,719,629,647,535
38,430,386,476,319,284,406,362,443,338,631,654,611,704,701,599,662,517
39,463,396,452,350,328,425,359,406,385,665,647,594,720,776,612,700,540
40,413,403,467,378,325,430,367,484,360,685,640,604,709,711,601,634,556
41,492,399,495,346,323,414,337,432,336,667,668,591,709,768,643,682,581
42,424,409,517,323,337,403,358,444,328,639,628,573,654,701,619,655,521
43,452,393,459,318,301,399,319,452,329,688,675,603,687,744,622,660,553
44,470,398,445,345,308,419,364,428,353,642,650,612,651,721,624,653,546
45,435,414,419,350,297,390,351,461,328,671,629,622,676,741,644,686,566
46,420,358,468,324,294,419,350,418,340,613,643,610,662,721,602,648,522
47,468,383,459,335,320,410,367,436,349,644,658,605,676,759,640,639,546
48,422,371,412,347,303,382,346,433,343,650,677,613,666,742,620,650,523
49,448,413,464,357,357,401,362,452,367,668,670,591,679,733,624,659,587
50,440,401,492,366,332,404,402,468,328,622,647,630,673,704,618,664,534
51,429,440,487,362,318,408,360,474,357,663,650,628,681,733,617,671,539
52,481,425,507,383,354,469,378,435,357,652,691,638,700,774,614,687,529
53,411,377,456,303,305,347,348,453,341,650,625,598,687,730,609,646,515
54,418,407,433,342,308,401,346,474,350,676,698,671,729,753,667,675,593
55,410,420,491,320,292,417,360,435,320,664,641,639,682,759,668,677,559
56,394,411,463,336,303,402,317,422,320,667,649,575,688,723,664,661,511
57,404,377,403,352,330,440,341,442,376,648,615,614,684,689,622,644,549
58,441,382,547,344,314,404,370,411,359,646,629,573,646,713,635,647,513
59,413,342,369,332,324,374,343,438,305,661,607,562,656,665,613,601,569
60,383,332,346,288,283,348,330,381,284,495,479,438,549,570,454,452,421
61,403,317,321,304,299,363,276,363,287,481,462,431,518,558,436,453,458
62,387,300,338,297,286,347,268,394,277,522,492,447,559,607,497,482,442
63,387,339,310,281,272,374,266,355,307,537,470,479,545,554,486,487,459
64,353,308,284,315,262,365,268,374,302,483,490,436,536,569,489,430,446
65,359,306,294,330,256,333,239,377,318,480,465,467,523,575,479,449,433
66,377,333,326,304,292,357,277,376,329,521,510,491,550,607,474,476,452
67,356,337,300,280,271,382,298,368,337,491,489,427,517,569,497,464,438
68,381,322,316,304,286,379,279,386,348,482,482,449,506,565,472,461,449
69,371,326,302,298,280,366,266,389,330,503,483,461,526,573,492,472,437
70,368,336,292,310,294,357,285,365,313,498,474,482,493,553,486,468,433
71,354,304,286,266,285,351,261,315,288,487,497,469,524,576,480,468,450
72,367,313,284,286,273,343,262,347,352,492,455,450,499,595,435,445,449
73,363,336,326,298,302,363,264,353,320,515,467,443,493,565,466,478,450
74,349,326,317,280,261,344,257,342,301,500,480,449,520,566,470,457,442
75,354,303,322,294,257,381,288,345,316,575,512,495,565,629,519,500,486
76,368,306,329,279,299,355,258,371,303,519,538,502,558,602,497,502,493
77,341,328,265,287,255,390,266,359,306,538,516,510,572,592,533,515,486
78,363,301,286,281,265,398,299,334,284,533,518,520,552,567,506,480,469
79,357,286,303,239,281,352,255,331,272,549,508,514,545,612,479,495,463
80,356,309,329,249,277,347,248,307,292,524,503,521,577,586,502,501,486
81,342,312,313,285,269,363,282,335,313,502,491,491,551,571,488,479,483
82,307,311,281,262,254,351,265,336,278,526,508,474,543,560,481,513,483
83,368,295,268,259,242,366,275,330,282,546,545,450,540,590,487,455,466
84,345,316,302,264,267,346,269,336,291,520,509,483,563,609,475,520,461
85,349,285,267,249,243,354,252,320,269,547,532,444,546,640,496,484,481
86,376,292,304,270,261,321,264,331,286,553,518,450,602,598,505,486,480
87,367,327,297,282,265,336,231,320,281,512,504,459,529,595,483,455,463
88,364,330,279,269,253,321,245,299,299,510,497,426,516,586,455,483,464
89,355,295,313,265,252,344,257,330,320,442,429,405,464,534,403,417,402
90,380,305,292,266,252,365,246,316,309,451,435,444,523,574,440,435,429
91,318,305,302,249,273,317,243,298,333,437,461,450,494,594,430,447,445
92,370,328,318,303,257,324,272,330,325,423,463,426,510,572,446,416,438
93,376,340,315,322,266,336,272,336,329,450,435,470,499,572,428,439,411
94,356,295,302,244,273,344,228,332,283,430,463,429,495,543,410,395,419
95,342,290,297,268,249,328,221,314,292,482,455,463,514,563,429,435,455
96,383,319,296,284,257,362,269,337,342,430,479,428,497,546,433,457,424
97,376,319,303,275,248,336,277,345,315,464,457,455,474,562,398,453,441
98,372,316,307,291,260,318,252,311,324,428,468,478,512,578,429,433,386
99,353,315,269,272,255,379,291,297,321,418,433,444,507,552,448,423,408
100,344,355,314,269,282,362,281,318,309,469,478,488,511,605,452,482,441
101,386,324,348,294,264,354,264,378,323,430,456,399,475,548,426,381,425
102,379,323,322,289,287,343,287,352,317,431,457,455,493,554,394,464,406
103,357,314,323,283,275,352,281,355,324,438,464,437,485,548,388,403,424
104,362,319,309,288,267,334,269,355,327,449,467,441,470,520,419,448,411
105,343,339,312,251,231,337,267,318,319,441,434,413,490,531,444,457,458
106,366,319,273,291,301,359,300,334,301,433,429,409,490,551,429,426,419
107,331,302,303,271,232,313,239,350,275,491,482,437,545,578,437,430,442
108,387,330,321,288,271,333,277,324,338,457,462,450,522,526,400,443,428
109,347,318,311,280,267,375,299,323,305,460,449,435,514,537,427,455,428
110,341,317,319,243,263,336,259,346,299,452,469,438,508,547,434,474,472
111,324,321,294,253,278,323,294,314,291,428,493,424,492,562,424,426,441
112,347,312,279,272,261,361,303,329,299,443,493,428,500,524,383,428,422
113,360,285,280,274,263,330,245,313,295,418,485,434,475,537,386,444,413
