Year,diff
1992,2.8
1992,1.4
1992,2
1992,0.7
1992,0.7
1992,1.3
1992,0.9
1992,1.2
1992,1.2
1992,1.5
1992,0.6
1992,-0.1
1993,1.8
1993,1.7
1993,1.4
1993,1.1
1993,0.8
1993,0.4
1993,0.2
1993,1.3
1993,0.8
1993,1.7
1993,0.5
1993,-0.1
1994,1
1994,1.5
1993,1.8
1993,0.3
1994,0.5
1994,1.4
1994,1.1
1994,2
1994,1.1
1994,0.5
1994,0.6
1994,-0.2
1995,1.9
1995,1.7
1995,1.5
1995,1.5
1995,0.8
1995,0.9
1995,0.3
1995,1
1995,1
1995,1.3
1995,-0.2
1995,-0.2
1996,2.6
1996,1.7
1996,2.3
1996,1.7
1996,0.8
1996,0.5
1996,0.9
1996,0.7
1996,1.6
1996,1.4
1996,0.9
1996,0
1997,1.7
1997,1.5
1997,1.1
1997,0.4
1997,-0.1
1997,0.6
1997,0.5
1997,0.9
1997,1.4
1997,1.1
1997,-0.2
1997,-0.7
1998,1
1998,0.7
1998,0.9
1998,1
1998,0.9
1998,0.5
1998,0.6
1998,0.8
1998,0.5
1998,1.2
1998,0
1998,-0.3
1999,1.3
1999,0.6
1999,1.5
1999,3.4
1999,-0.1
1999,0.2
1999,1.3
1999,1.5
1999,2.2
1999,1
1999,0.2
1999,0
2000,1.7
2000,2.9
2000,4.1
2000,0.4
2000,0.4
2000,2.9
2000,1
2000,0.1
2000,2.7
2000,0.9
2000,0.3
2000,-0.4
2001,3.4
2001,2.2
2001,1.3
2001,1.9
2001,2.3
2001,1.1
2001,-1.7
2001,0.2
2001,2.2
2001,-1.8
2001,-0.9
2001,-2.1
2002,1.4
2002,2.1
2002,2.8
2002,3.1
2002,-0.1
2002,0.4
2002,0.6
2002,1.7
2002,0.9
2002,1.1
2002,-0.1
2002,-1.2
2003,2.3
2003,4.3
2003,3.3
2003,-1.3
2003,-0.8
2003,0.7
2003,0.5
2003,2.1
2003,1.7
2003,-0.4
2003,-1.6
2003,-0.6
2004,2.8
2004,3
2004,3.6
2004,1.7
2004,3.2
2004,1.8
2004,-0.7
2004,0.1
2004,1.1
2004,3.2
2004,0.3
2004,-2.1
2005,1.1
2005,3.3
2005,4.5
2005,3.9
2005,-0.5
2005,0.2
2005,2.6
2005,3
2005,7.2
2005,1.3
2005,-4.7
2005,-2.6
2006,4.5
2006,1.3
2006,3.4
2006,4.9
2006,3
2006,1.3
2006,1.8
2006,1.3
2006,-3
2006,-3.3
2006,-1
2006,0.9
2007,1.848
2007,3.246
2007,5.551
2007,3.995
2007,3.781
2007,1.208
2007,-0.159
2007,-1.143
2007,1.716
2007,1.336
2007,3.719
2007,-0.424
2008,3.127
2008,1.838
2008,5.497
2008,3.879
2008,5.418
2008,6.541
2008,3.441
2008,-2.631
2008,-0.908
2008,-6.618
2008,-12.426
2008,-6.581
2009,2.74
2009,3.146
2009,1.545
2009,1.589
2009,1.845
2009,5.505
2009,-1.025
2009,1.448
2009,0.404
2009,0.622
2009,0.458
2009,-1.141
2010,2.211
2010,0.161
2010,2.666
2010,1.134
2010,0.505
2010,-0.638
2010,0.14
2010,0.9
2010,0.38
2010,0.816
2010,0.276
2010,1.125
2011,3.129
2011,3.251
2011,6.466
2011,4.308
2011,3.17
2011,-0.725
2011,0.6
2011,1.866
2011,1.03
2011,-1.4
2011,-0.574
2011,-1.67
2012,2.974
2012,2.989
2012,5.18
2012,2.075
2012,-0.809
2012,-1.008
2012,-1.121
2012,3.819
2012,3.079
2012,-0.269
2012,-3.284
2012,-1.857
2013,2.036
2013,5.649
2013,1.817
2013,-0.723
2013,1.237
2013,1.675
2013,0.278
2013,0.842
2013,0.813
2013,-1.805
2013,-1.43
2013,-0.061
2014,2.6
2014,2.59
2014,4.53
2014,2.332
2014,2.48
2014,1.328
2014,-0.279
2014,-1.193
2014,0.537
2014,-1.792
2014,-3.841
2014,-4.009
2015,-3.31
2015,3.039
2015,4.184
2015,1.44
2015,3.611
2015,2.498
2015,0.047
2015,-1.012
2015,-1.113
2015,-0.319
2015,-1.506
2015,-2.428
2016,1.171
2016,0.583
2016,3.061
2016,3.38
2016,2.9
2016,2.363
2016,-1.166
2016,0.66
2016,1.734
2016,0.903
2016,-1.127
2016,0.238
2017,4.215
2017,2.288
2017,0.593
2017,2.166
2017,0.624
2017,0.665
2017,-0.506
2017,2.197
2017,3.893
2017,-0.466
2017,0.019
2017,-0.435
2018,4.022
2018,3.367
2018,1.688
2018,2.97
2018,3.123
2018,1.201
2018,0.05
2018,0.419
2018,0.877
2018,1.338
2018,-2.54
2018,-2.408
2019,1.433
2019,3.187
2019,4.273
2019,4.03
2019,1.631
2019,0.153
2019,1.28
2019,-0.038
2019,0.603
2019,1.759
2019,-0.413
2019,-0.701
2020,2.987
2020,2.118
2020,-1.687
2020,-5.17
2020,0.015
2020,4.201
2020,3.907
2020,2.447
2020,1.085
2020,0.324
2020,-0.477
2020,0.732
2021,3.321
2021,4.288
2021,5.583
2021,6.52
2021,6.412
2021,7.492
2021,3.917
2021,1.689
2021,2.225
2021,6.828
2021,4.071
2021,2.559
